row_label,column_1,app_submitted_qualified,app_submitted_unqualified,cold_lead,dead_lead,do_not_contact,enrolled,event_leads,future_applicant,hot_lead,interviewed_app_ready,interviewed_not_ready,new,outreach_attempt_1,outreach_attempt_2,outreach_attempt_4,qualified_meeting_set,responded,warm_lead,blank,grand_total,l2c,badleads,uncontacted
Source 30,,,,,,,,,,,,,11,7,,,,,,,18,0,0,1
Source 35,,,,17,19,14,,214,1,2,1,1,,51,21,,,4,3,,348,0.034482758620689655,0.14367816091954022,0.8218390804597702
Source 46,,1,,7,1,3,,,,3,,2,7,49,4,1,3,6,13,,100,0.28,0.11,0.6
Source 58,,1,1,3,4,,,463,1,48,2,,,1,,,,2,1,,527,0.1062618595825427,0.013282732447817837,0.8804554079696395
Source 60,,,,,,,,,,1,,,,2,,,,,,,3,0.3333333333333333,0,0.6666666666666666
Source 68,36,,1,4,1,,,,1,1,,1,,21,2,,1,3,4,,76,0.15789473684210525,0.06578947368421052,0.3026315789473684
Source 72,,,,,,,,,,,,,10,,,,,,,,10,0,0,1
Source 80,,1,1,3,3,1,2,,,3,,1,7,57,10,1,2,7,2,,101,0.18811881188118812,0.06930693069306931,0.7326732673267327
Source 81,,,1,2,5,3,,,,,,1,13,64,8,,1,10,6,,114,0.16666666666666666,0.08771929824561403,0.7456140350877193
