row_label,column_1,app_submitted_qualified,app_submitted_unqualified,duplicate_lead,enrolled,event_leads,future_applicant,hot_lead,interviewed_app_ready,interviewed_not_ready,new,no_show,outreach_attempt_1,outreach_attempt_2,outreach_attempt_3,outreach_attempt_4,qualified_meeting_set,responded,unqualified_meeting_set,warm_lead,blank,grand_total,l2c,column_24,column_25,column_26
UDR 02,1,,2,2,,728,,,3,8,1,,754,204,193,134,,9,1,101,,2141,0.08775654635527247,,,
UDR 08,40,3,14,,4,1188,,47,12,,115,10,785,350,219,44,2,8,1,89,,2931,0.10900745840504876,,,
UDR 10,9,7,11,,1,789,16,42,1,47,62,91,996,345,284,166,20,14,2,155,,3058,0.17937417364477742,,,
UDR 16,9,42,14,,22,1562,11,32,13,73,73,69,731,199,50,201,35,23,16,48,,3223,0.23961468994581578,,,
UDR 18,,,2,,2,830,4,11,,1,,,894,265,102,35,,12,,220,,2378,0.16279069767441862,,,
UDR 24,9,8,4,,,1008,10,7,4,5,11,9,648,234,124,175,9,22,17,104,,2408,0.14214285714285715,,,
UDR 26,401,,2,,,2,,,,,11,,,,,,,,,,,416,0.004830917874396135,,,
UDR 30,10,15,4,6,1,224,21,39,25,37,6,9,802,311,372,1034,,160,2,61,,3139,0.12830188679245283,,,
UDR 33,6,4,5,,,1092,15,45,7,2,4,4,682,302,25,121,34,6,20,163,,2537,0.21107266435986158,,,Le
UDR 37,13,8,23,2,,1043,39,29,12,13,8,8,691,539,201,127,3,103,3,97,,2962,0.1761334028139656,,,
